,Company Name,Industry,Symbol,Series,ISIN Code
92,Hindustan Oil Exploration Co. Ltd.,Oil Gas & Consumable Fuels,HINDOILEXP,EQ,INE345A01011
93,Hindware Home Innovation Ltd.,Consumer Durables,HINDWAREAP,EQ,INE05AN01011
94,IFB Industries Ltd.,Consumer Durables,IFBIND,EQ,INE559A01017
95,IIFL Securities Ltd.,Financial Services,IIFLSEC,EQ,INE489L01022
96,ITD Cementation India Ltd.,Construction,ITDCEM,EQ,INE686A01026
97,Ideaforge Technology Ltd.,Capital Goods,IDEAFORGE,EQ,INE349Y01013
98,Imagicaaworld Entertainment Ltd.,Consumer Services,IMAGICAA,EQ,INE172N01012
99,India Glycols Ltd.,Chemicals,INDIAGLYCO,EQ,INE560A01015
100,India Pesticides Ltd.,Chemicals,IPL,EQ,INE0D6701023
101,India Shelter Finance Corporation Ltd.,Financial Services,INDIASHLTR,EQ,INE922K01024
102,Indian Metals & Ferro Alloys Ltd.,Metals & Mining,IMFA,EQ,INE919H01018
