,Company Name,Industry,Symbol,Series,ISIN Code
160,Cummins India Ltd.,Capital Goods,CUMMINSIND,EQ,INE298A01020
161,Cyient DLM Ltd.,Capital Goods,CYIENTDLM,EQ,INE055S01018
162,Cyient Ltd.,Information Technology,CYIENT,EQ,INE136B01020
163,DCB Bank Ltd.,Financial Services,DCBBANK,EQ,INE503A01015
164,DCM Shriram Ltd.,Diversified,DCMSHRIRAM,EQ,INE499A01024
165,DCX Systems Ltd.,Capital Goods,DCXINDIA,EQ,INE0KL801015
166,DLF Ltd.,Realty,DLF,EQ,INE271C01023
167,DOMS Industries Ltd.,Fast Moving Consumer Goods,DOMS,EQ,INE321T01012
168,Dabur India Ltd.,Fast Moving Consumer Goods,DABUR,EQ,INE016A01026
169,Dalmia Bharat Ltd.,Construction Materials,DALBHARAT,EQ,INE00R701025
170,Data Patterns (India) Ltd.,Capital Goods,DATAPATTNS,EQ,INE0IX101010
171,Datamatics Global Services Ltd.,Information Technology,DATAMATICS,EQ,INE365B01017
172,Deepak Fertilisers & Petrochemicals Corp. Ltd.,Chemicals,DEEPAKFERT,EQ,INE501A01019
173,Deepak Nitrite Ltd.,Chemicals,DEEPAKNTR,EQ,INE288B01029
174,Delhivery Ltd.,Services,DELHIVERY,EQ,INE148O01028
175,Delta Corp Ltd.,Consumer Services,DELTACORP,EQ,INE124G01033
176,Den Networks Ltd.,Media Entertainment & Publication,DEN,EQ,INE947J01015
177,Devyani International Ltd.,Consumer Services,DEVYANI,EQ,INE872J01023
178,Dhani Services Ltd.,Financial Services,DHANI,EQ,INE274G01010
179,Dhanuka Agritech Ltd.,Chemicals,DHANUKA,EQ,INE435G01025
180,Dilip Buildcon Ltd.,Construction,DBL,EQ,INE917M01012
181,Dish TV India Ltd.,Media Entertainment & Publication,DISHTV,EQ,INE836F01026
182,Dishman Carbogen Amcis Ltd.,Healthcare,DCAL,EQ,INE385W01011
183,Divi's Laboratories Ltd.,Healthcare,DIVISLAB,EQ,INE361B01024
184,Dixon Technologies (India) Ltd.,Consumer Durables,DIXON,EQ,INE935N01020
185,Dodla Dairy Ltd.,Fast Moving Consumer Goods,DODLA,EQ,INE021O01019
186,Dr. Lal Path Labs Ltd.,Healthcare,LALPATHLAB,EQ,INE600L01024
187,Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY,EQ,INE089A01023
188,Dreamfolks Services Ltd.,Services,DREAMFOLKS,EQ,INE0JS101016
189,Dummy Infibeam Avenues Ltd.,Media Entertainment & Publication,DUMMYINFBM,BE,DUM483S01020
190,Dynamatic Technologies Ltd.,Capital Goods,DYNAMATECH,EQ,INE221B01012
191,E.I.D. Parry (India) Ltd.,Chemicals,EIDPARRY,EQ,INE126A01031
192,EIH Ltd.,Consumer Services,EIHOTEL,EQ,INE230A01023
193,EPL Ltd.,Capital Goods,EPL,EQ,INE255A01020
194,ESAF Small Finance Bank Ltd.,Financial Services,ESAFSFB,EQ,INE818W01011
195,Easy Trip Planners Ltd.,Consumer Services,EASEMYTRIP,EQ,INE07O001026
196,Edelweiss Financial Services Ltd.,Financial Services,EDELWEISS,EQ,INE532F01054
197,Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT,EQ,INE066A01021
198,Elecon Engineering Co. Ltd.,Capital Goods,ELECON,EQ,INE205B01031
199,Electronics Mart India Ltd.,Consumer Services,EMIL,EQ,INE02YR01019
200,Electrosteel Castings Ltd.,Capital Goods,ELECTCAST,EQ,INE086A01029
201,Elgi Equipments Ltd.,Capital Goods,ELGIEQUIP,EQ,INE285A01027
202,Emami Ltd.,Fast Moving Consumer Goods,EMAMILTD,EQ,INE548C01032
203,Emcure Pharmaceuticals Ltd.,Healthcare,EMCURE,EQ,INE168P01015
204,Endurance Technologies Ltd.,Automobile and Auto Components,ENDURANCE,EQ,INE913H01037
205,Engineers India Ltd.,Construction,ENGINERSIN,EQ,INE510A01028
206,Entero Healthcare Solutions Ltd.,Consumer Services,ENTERO,EQ,INE010601016
207,Epigral Ltd.,Chemicals,EPIGRAL,EQ,INE071N01016
208,Equinox India Developments Ltd.,Realty,EMBDL,EQ,INE069I01010
209,Equitas Small Finance Bank Ltd.,Financial Services,EQUITASBNK,EQ,INE063P01018
210,Eris Lifesciences Ltd.,Healthcare,ERIS,EQ,INE406M01024
211,Escorts Kubota Ltd.,Capital Goods,ESCORTS,EQ,INE042A01014
212,Ethos Ltd.,Consumer Durables,ETHOSLTD,EQ,INE04TZ01018
213,Eveready Industries India Ltd.,Fast Moving Consumer Goods,EVEREADY,EQ,INE128A01029
214,Exide Industries Ltd.,Automobile and Auto Components,EXIDEIND,EQ,INE302A01020
215,FDC Ltd.,Healthcare,FDC,EQ,INE258B01022
216,FSN E-Commerce Ventures Ltd.,Consumer Services,NYKAA,EQ,INE388Y01029
217,Federal Bank Ltd.,Financial Services,FEDERALBNK,EQ,INE171A01029
218,Fertilisers and Chemicals Travancore Ltd.,Chemicals,FACT,EQ,INE188A01015
219,Fiem Industries Ltd,Automobile and Auto Components,FIEMIND,EQ,INE737H01014
220,Fine Organic Industries Ltd.,Chemicals,FINEORG,EQ,INE686Y01026
221,Fineotex Chemical Ltd.,Chemicals,FCL,EQ,INE045J01026
222,Finolex Cables Ltd.,Capital Goods,FINCABLES,EQ,INE235A01022
223,Finolex Industries Ltd.,Capital Goods,FINPIPE,EQ,INE183A01024
224,Firstsource Solutions Ltd.,Services,FSL,EQ,INE684F01012
225,Five-Star Business Finance Ltd.,Financial Services,FIVESTAR,EQ,INE128S01021
226,Force Motors Ltd.,Automobile and Auto Components,FORCEMOT,EQ,INE451A01017
227,Fortis Healthcare Ltd.,Healthcare,FORTIS,EQ,INE061F01013
228,Fusion Finance Ltd.,Financial Services,FUSION,EQ,INE139R01012
229,G R Infraprojects Ltd.,Construction,GRINFRA,EQ,INE201P01022
230,GAIL (India) Ltd.,Oil Gas & Consumable Fuels,GAIL,EQ,INE129A01019
231,GE T&D India Ltd.,Capital Goods,GET&D,BE,INE200A01026
232,GHCL Ltd.,Chemicals,GHCL,EQ,INE539A01019
233,GMM Pfaudler Ltd.,Capital Goods,GMMPFAUDLR,EQ,INE541A01023
234,GMR Airports Infrastructure Ltd.,Services,GMRINFRA,EQ,INE776C01039
235,Gabriel India Ltd.,Automobile and Auto Components,GABRIEL,EQ,INE524A01029
236,Ganesh Housing Corporation Ltd.,Realty,GANESHHOUC,EQ,INE460C01014
237,Garden Reach Shipbuilders & Engineers Ltd.,Capital Goods,GRSE,EQ,INE382Z01011
238,Garware Hi-Tech Films Ltd.,Capital Goods,GRWRHITECH,EQ,INE291A01017
239,Gateway Distriparks Ltd.,Services,GATEWAY,EQ,INE079J01017
240,General Insurance Corporation of India,Financial Services,GICRE,EQ,INE481Y01014
241,Gillette India Ltd.,Fast Moving Consumer Goods,GILLETTE,EQ,INE322A01010
242,Gland Pharma Ltd.,Healthcare,GLAND,EQ,INE068V01023
243,Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,GLAXO,EQ,INE159A01016
244,Glenmark Life Sciences Ltd.,Healthcare,GLS,EQ,INE03Q201024
245,Glenmark Pharmaceuticals Ltd.,Healthcare,GLENMARK,EQ,INE935A01035
246,Global Health Ltd.,Healthcare,MEDANTA,EQ,INE474Q01031
247,Go Digit General Insurance Ltd.,Financial Services,GODIGIT,EQ,INE03JT01014
248,Go Fashion (India) Ltd.,Consumer Services,GOCOLORS,EQ,INE0BJS01011
249,Godawari Power & Ispat Ltd.,Capital Goods,GPIL,EQ,INE177H01039
250,Godfrey Phillips India Ltd.,Fast Moving Consumer Goods,GODFRYPHLP,EQ,INE260B01028
251,Godrej Agrovet Ltd.,Fast Moving Consumer Goods,GODREJAGRO,EQ,INE850D01014
